Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,In stock?,Regular price,Categories,Parent,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Meta: _alkrona_latin_name,Meta: _alkrona_availability
variable,ALK-0001,Бирючина обыкновенная,1,0,visible,,,1,10.00,Лиственные кустарники,,0,Горшок,С2,1,0,Высота,30-40,1,0,Ligústrum vulgáre,
variation,ALK-0001-01,,1,0,visible,,,1,10.00,,ALK-0001,1,Горшок,С2,,,Высота,30-40,,,,июль
variable,ALK-0002,Гортензия метельчатая,1,0,visible,,,1,20.00,Лиственные кустарники,,0,Горшок,С2,1,0,Высота,30-40,1,0,"Hydrangea paniculata""Limelight""",
variation,ALK-0002-01,,1,0,visible,,,1,20.00,,ALK-0002,1,Горшок,С2,,,Высота,30-40,,,,в наличии
variable,ALK-0003,Гортензия метельчатая,1,0,visible,,,1,20.00,Лиственные кустарники,,0,Горшок,С2,1,0,Высота,30-40,1,0,"Hydrangea paniculata""Vanille Fraise""",
variation,ALK-0003-01,,1,0,visible,,,1,20.00,,ALK-0003,1,Горшок,С2,,,Высота,30-40,,,,в наличии
variable,ALK-0004,Дерен белый,1,0,visible,,,1,15.00,Лиственные кустарники,,0,Горшок,С2,1,0,Высота,40-60,1,0,"Cornus alba ""Argentomarginata""",
variation,ALK-0004-01,,1,0,visible,,,1,15.00,,ALK-0004,1,Горшок,С2,,,Высота,40-60,,,,июнь-июль
variable,ALK-0005,Дерен белый,1,0,visible,,,1,15.00,Лиственные кустарники,,0,Горшок,С2 | С5,1,0,Высота,40-60 | 70-100,1,0,"Cornus alba""Elegantissima""",
variation,ALK-0005-01,,1,0,visible,,,1,15.00,,ALK-0005,1,Горшок,С2,,,Высота,40-60,,,,июнь-июль
variation,ALK-0005-02,,1,0,visible,,,1,25.00,,ALK-0005,2,Горшок,С5,,,Высота,70-100,,,,в наличии
variable,ALK-0006,Дерен белый,1,0,visible,,,1,15.00,Лиственные кустарники,,0,Горшок,С3,1,0,Высота,40-60,1,0,"Cornus alba ""Gouchaultii""",
variation,ALK-0006-01,,1,0,visible,,,1,15.00,,ALK-0006,1,Горшок,С3,,,Высота,40-60,,,,июнь-июль
variable,ALK-0007,Дерен белый,1,0,visible,,,1,15.00,Лиственные кустарники,,0,Горшок,С2,1,0,Высота,40-60,1,0,Cornus alba `Kesselringii`,
variation,ALK-0007-01,,1,0,visible,,,1,15.00,,ALK-0007,1,Горшок,С2,,,Высота,40-60,,,,июнь-июль
variable,ALK-0008,Дерен белый,1,0,visible,,,1,15.00,Лиственные кустарники,,0,Горшок,С2 | С5,1,0,Высота,50-70 | 70-90,1,0,"Cornus alba ""Sibirica""",
variation,ALK-0008-01,,1,0,visible,,,1,15.00,,ALK-0008,1,Горшок,С2,,,Высота,50-70,,,,в наличии
variation,ALK-0008-02,,1,0,visible,,,1,25.00,,ALK-0008,2,Горшок,С5,,,Высота,70-90,,,,в наличии
variable,ALK-0009,Дерен белый,1,0,visible,,,1,15.00,Лиственные кустарники,,0,Горшок,С3 | С5,1,0,Высота,40-60 | 70-100,1,0,"Cornus alba ""Spaethii""",
variation,ALK-0009-01,,1,0,visible,,,1,15.00,,ALK-0009,1,Горшок,С3,,,Высота,40-60,,,,июнь-июль
variation,ALK-0009-02,,1,0,visible,,,1,25.00,,ALK-0009,2,Горшок,С5,,,Высота,70-100,,,,в наличии
variable,ALK-0010,Дёрен отпрысковый,1,0,visible,,,1,15.00,Лиственные кустарники,,0,Горшок,С2 | С5,1,0,Высота,30-50 | 70-100,1,0,"Cornus sericea ""Flaviramea""",
variation,ALK-0010-01,,1,0,visible,,,1,15.00,,ALK-0010,1,Горшок,С2,,,Высота,30-50,,,,июнь-июль
variation,ALK-0010-02,,1,0,visible,,,1,25.00,,ALK-0010,2,Горшок,С5,,,Высота,70-100,,,,в наличии
variable,ALK-0011,Лапчатка кустарниковая (желт.),1,0,visible,,,1,12.00,Лиственные кустарники,,0,Горшок,"С1,5",1,0,Высота,15-20,1,0,,
variation,ALK-0011-01,,1,0,visible,,,1,12.00,,ALK-0011,1,Горшок,"С1,5",,,Высота,15-20,,,,в наличии
variable,ALK-0012,Лапчатка кустарниковая (бел.),1,0,visible,,,1,12.00,Лиственные кустарники,,0,Горшок,"С1,5",1,0,Высота,15-20,1,0,,
variation,ALK-0012-01,,1,0,visible,,,1,12.00,,ALK-0012,1,Горшок,"С1,5",,,Высота,15-20,,,,в наличии
variable,ALK-0013,Пузыреплодник калинолистный,1,0,visible,,,1,15.00,Лиственные кустарники,,0,Горшок,С3 | С5,1,0,Высота,30-40 | 70-90,1,0,"Physocarpus opulifolius ""Diabolo""",
variation,ALK-0013-01,,1,0,visible,,,1,15.00,,ALK-0013,1,Горшок,С3,,,Высота,30-40,,,,в наличии
variation,ALK-0013-02,,1,0,visible,,,1,25.00,,ALK-0013,2,Горшок,С5,,,Высота,70-90,,,,в наличии
variable,ALK-0014,Пузыреплодник калинолистный,1,0,visible,,,1,15.00,Лиственные кустарники,,0,Горшок,С2,1,0,Высота,30-40,1,0,"Physocarpus opulifolius ""Luteus""",
variation,ALK-0014-01,,1,0,visible,,,1,15.00,,ALK-0014,1,Горшок,С2,,,Высота,30-40,,,,в наличии
variable,ALK-0015,Пузыреплодник калинолистный,1,0,visible,,,1,10.00,Лиственные кустарники,,0,Горшок,ОКС,1,0,Высота,70-90,1,0,Physocarpus opulifolius,
variation,ALK-0015-01,,1,0,visible,,,1,10.00,,ALK-0015,1,Горшок,ОКС,,,Высота,70-90,,,,в наличии
variable,ALK-0016,Спирея березолистная,1,0,visible,,,1,12.00,Лиственные кустарники,,0,Горшок,"С1,5",1,0,Высота,20-30,1,0,"Spiraea betulifolia ""Tor""",
variation,ALK-0016-01,,1,0,visible,,,1,12.00,,ALK-0016,1,Горшок,"С1,5",,,Высота,20-30,,,,в наличии
variable,ALK-0017,Спирея березолистная,1,0,visible,,,1,12.00,Лиственные кустарники,,0,Горшок,"С1,5",1,0,Высота,20-30,1,0,"Spiraea betulifolia ""Tor Gold""",
variation,ALK-0017-01,,1,0,visible,,,1,12.00,,ALK-0017,1,Горшок,"С1,5",,,Высота,20-30,,,,в наличии
variable,ALK-0018,Спирея березолистная,1,0,visible,,,1,12.00,Лиственные кустарники,,0,Горшок,С2,1,0,Высота,30-40,1,0,"Spiraea betulifolia ""Pink Sparkler""",
variation,ALK-0018-01,,1,0,visible,,,1,12.00,,ALK-0018,1,Горшок,С2,,,Высота,30-40,,,,в наличии
variable,ALK-0019,Спирея Вангутта,1,0,visible,,,1,15.00,Лиственные кустарники,,0,Горшок,С2,1,0,Высота,30-40,1,0,Spiraea vanhouttei,
variation,ALK-0019-01,,1,0,visible,,,1,15.00,,ALK-0019,1,Горшок,С2,,,Высота,30-40,,,,в наличии
variable,ALK-0020,Спирея Дугласа,1,0,visible,,,1,10.00,Лиственные кустарники,,0,Горшок,ОКС | С2 | C5 | C10,1,0,Высота,60-80 | 30-40 | 80-120,1,0,Spiraea douglasii,
variation,ALK-0020-01,,1,0,visible,,,1,10.00,,ALK-0020,1,Горшок,ОКС,,,Высота,60-80,,,,в наличии
variation,ALK-0020-02,,1,0,visible,,,1,12.00,,ALK-0020,2,Горшок,С2,,,Высота,30-40,,,,в наличии
variation,ALK-0020-03,,1,0,visible,,,1,20.00,,ALK-0020,3,Горшок,C5,,,Высота,60-80,,,,в наличии
variation,ALK-0020-04,,1,0,visible,,,1,30.00,,ALK-0020,4,Горшок,C10,,,Высота,80-120,,,,в наличии
variable,ALK-0021,Спирея серая,1,0,visible,,,1,15.00,Лиственные кустарники,,0,Горшок,С3 | С5,1,0,Высота,30-40 | 60-80,1,0,"Spiraea cinerea ""Grefsheim""",
variation,ALK-0021-01,,1,0,visible,,,1,15.00,,ALK-0021,1,Горшок,С3,,,Высота,30-40,,,,в наличии
variation,ALK-0021-02,,1,0,visible,,,1,25.00,,ALK-0021,2,Горшок,С5,,,Высота,60-80,,,,в наличии
variable,ALK-0022,Спирея японская,1,0,visible,,,1,12.00,Лиственные кустарники,,0,Горшок,"С1,5",1,0,Высота,20-30,1,0,"Spiraea japonica ""Albiflora""",
variation,ALK-0022-01,,1,0,visible,,,1,12.00,,ALK-0022,1,Горшок,"С1,5",,,Высота,20-30,,,,в наличии
variable,ALK-0023,Спирея японская,1,0,visible,,,1,12.00,Лиственные кустарники,,0,Горшок,"С1,5",1,0,Высота,20-30,1,0,"Spiraea japonica ""Anthony Waterer""",
